review_count,stars,Take-out,GoodFor_lunch,GoodFor_dinner,GoodFor_breakfast,Noise_Level,Takes_Reservations,Delivery,Parking_lot,WheelchairAccessible,Alcohol,WaiterService,Wi-Fi
4,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,FALSE,N/A
20,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,full_bar,TRUE,no
21,1,TRUE,FALSE,TRUE,FALSE,loud,FALSE,FALSE,TRUE,N/A,full_bar,TRUE,free
8,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,TRUE,none,TRUE,N/A
4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A
7,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,TRUE,TRUE,full_bar,TRUE,free
58,1,TRUE,FALSE,FALSE,TRUE,average,FALSE,FALSE,TRUE,FALSE,none,TRUE,no
6,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,TRUE,N/A
7,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,FALSE,N/A,full_bar,TRUE,N/A
5,1,TRUE,N/A,N/A,N/A,average,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
9,0,TRUE,N/A,N/A,N/A,quiet,N/A,TRUE,FALSE,N/A,none,FALSE,N/A
9,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,TRUE,no
64,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,no
3,0,TRUE,N/A,N/A,N/A,quiet,FALSE,FALSE,N/A,FALSE,none,FALSE,no
3,1,TRUE,N/A,N/A,N/A,average,N/A,TRUE,N/A,N/A,N/A,TRUE,N/A
20,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,free
3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,0,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,TRUE,TRUE,none,TRUE,no
30,1,FALSE,FALSE,FALSE,FALSE,very_loud,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,no
26,1,TRUE,TRUE,FALSE,FALSE,loud,FALSE,FALSE,TRUE,N/A,full_bar,TRUE,N/A
5,0,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,TRUE,none,FALSE,free
4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
124,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,no
31,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A
74,0,TRUE,FALSE,TRUE,FALSE,loud,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,free
5,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,TRUE,none,FALSE,no
19,0,TRUE,FALSE,FALSE,FALSE,N/A,TRUE,FALSE,N/A,N/A,full_bar,TRUE,free
41,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,TRUE,TRUE,full_bar,TRUE,free
82,1,TRUE,TRUE,TRUE,FALSE,loud,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,no
22,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,TRUE,TRUE,none,FALSE,free
8,1,TRUE,N/A,N/A,N/A,loud,FALSE,TRUE,FALSE,N/A,N/A,FALSE,N/A
43,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,TRUE,TRUE,none,TRUE,no
99,1,TRUE,TRUE,TRUE,FALSE,average,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,free
3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
3,0,FALSE,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A,N/A
3,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A
4,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,TRUE,FALSE,N/A,none,FALSE,no
4,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,N/A,N/A,none,FALSE,no
11,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
4,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,TRUE,TRUE,none,TRUE,no
17,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,TRUE,N/A,none,TRUE,free
12,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,TRUE,FALSE,N/A,none,FALSE,N/A
6,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,FALSE,N/A,TRUE,full_bar,TRUE,N/A
3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
7,1,TRUE,FALSE,FALSE,FALSE,quiet,TRUE,FALSE,TRUE,TRUE,full_bar,TRUE,no
14,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,TRUE,TRUE,TRUE,none,FALSE,no
17,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,none,TRUE,N/A
6,0,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,FALSE,free
9,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,none,FALSE,no
4,0,TRUE,N/A,N/A,N/A,average,FALSE,FALSE,FALSE,N/A,none,FALSE,N/A
4,1,FALSE,FALSE,FALSE,FALSE,N/A,TRUE,FALSE,FALSE,TRUE,none,TRUE,N/A
21,1,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,N/A,N/A,N/A,N/A
4,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,N/A,none,FALSE,N/A
7,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,N/A,N/A
24,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,TRUE,no
8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,no
12,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,N/A,N/A,N/A,N/A
60,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,no
5,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A
21,0,TRUE,TRUE,FALSE,FALSE,quiet,FALSE,TRUE,TRUE,N/A,none,TRUE,no
14,1,TRUE,TRUE,FALSE,FALSE,average,FALSE,FALSE,TRUE,N/A,none,FALSE,no
8,1,TRUE,FALSE,FALSE,FALSE,quiet,TRUE,TRUE,TRUE,N/A,full_bar,TRUE,free
106,1,TRUE,FALSE,FALSE,TRUE,average,FALSE,FALSE,FALSE,TRUE,none,FALSE,free
64,1,TRUE,FALSE,TRUE,FALSE,loud,FALSE,TRUE,FALSE,TRUE,full_bar,TRUE,no
14,1,TRUE,TRUE,FALSE,FALSE,quiet,FALSE,FALSE,TRUE,N/A,none,TRUE,no
6,0,TRUE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,TRUE,none,FALSE,free
32,1,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,FALSE,TRUE,N/A,N/A,N/A
30,1,N/A,N/A,N/A,N/A,average,N/A,N/A,FALSE,TRUE,full_bar,N/A,free
29,1,TRUE,FALSE,TRUE,FALSE,quiet,FALSE,TRUE,TRUE,TRUE,none,FALSE,no
106,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A
12,1,TRUE,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,FALSE,TRUE,full_bar,TRUE,N/A
251,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,free
146,1,TRUE,TRUE,FALSE,TRUE,average,FALSE,FALSE,FALSE,TRUE,none,TRUE,free
60,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,TRUE,FALSE,TRUE,none,FALSE,no
13,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,N/A
61,1,FALSE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,none,TRUE,no
5,1,TRUE,TRUE,FALSE,FALSE,average,N/A,TRUE,FALSE,N/A,none,TRUE,N/A
74,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,no
3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,N/A,N/A,N/A,N/A
3,1,TRUE,N/A,N/A,N/A,average,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A
101,1,FALSE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,no
5,0,TRUE,FALSE,FALSE,FALSE,N/A,N/A,TRUE,FALSE,N/A,N/A,N/A,no
8,0,TRUE,TRUE,TRUE,FALSE,quiet,FALSE,FALSE,FALSE,N/A,none,FALSE,no
5,1,TRUE,FALSE,FALSE,FALSE,N/A,FALSE,TRUE,N/A,N/A,N/A,FALSE,N/A
20,1,TRUE,FALSE,FALSE,TRUE,quiet,FALSE,FALSE,TRUE,TRUE,none,TRUE,no
9,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,TRUE,N/A,none,FALSE,no
3,0,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,none,FALSE,no
7,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,TRUE,FALSE,N/A,none,TRUE,no
50,1,TRUE,FALSE,TRUE,FALSE,average,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,N/A
140,1,TRUE,FALSE,TRUE,FALSE,average,TRUE,FALSE,FALSE,TRUE,full_bar,TRUE,no
12,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A
10,1,TRUE,FALSE,FALSE,FALSE,loud,FALSE,FALSE,FALSE,N/A,none,FALSE,no
3,1,N/A,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,TRUE,full_bar,TRUE,no
9,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,FALSE,FALSE,N/A,N/A,TRUE,no
17,1,N/A,FALSE,FALSE,FALSE,N/A,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A
5,0,TRUE,TRUE,TRUE,FALSE,quiet,FALSE,TRUE,FALSE,N/A,none,FALSE,no
9,1,FALSE,FALSE,FALSE,FALSE,average,TRUE,FALSE,FALSE,N/A,full_bar,N/A,free
5,1,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,FALSE,N/A,full_bar,TRUE,N/A
4,1,TRUE,FALSE,FALSE,FALSE,average,FALSE,N/A,FALSE,N/A,none,FALSE,N/A
6,0,TRUE,N/A,N/A,N/A,average,FALSE,TRUE,FALSE,FALSE,N/A,TRUE,no
83,1,TRUE,FALSE,TRUE,FALSE,loud,TRUE,TRUE,FALSE,TRUE,none,TRUE,no
8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FALSE,TRUE,N/A,N/A,N/A
5,0,TRUE,FALSE,FALSE,FALSE,quiet,FALSE,FALSE,TRUE,N/A,none,FALSE,no
18,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,TRUE,N/A,N/A,N/A
