user_id,categories,reviews,stars
1,4,1,2
2,4,1,4
3,4,1,4
4,4,1,3
5,4,2,3
6,4,1,4
7,4,1,4
8,4,2,3
9,4,1,4
10,1,1,4
10,2,1,3
10,4,12,4
10,6,1,4
10,10,5,4
11,4,2,4
12,4,2,4
13,4,1,4
13,9,1,4
14,4,1,4
15,4,1,3
15,10,1,5
16,4,2,4
17,2,1,4
17,4,2,4
18,4,1,4
19,2,1,4
20,2,1,2
20,4,5,4
21,4,1,4
22,4,2,4
23,2,2,4
23,4,1,4
24,2,1,4
25,4,4,4
25,9,1,4
26,4,1,4
27,5,1,3
28,4,2,3
29,4,1,4
30,1,1,4
30,2,3,3
30,4,7,4
31,2,2,4
31,4,4,4
31,8,1,2
32,4,4,4
32,6,1,4
33,4,2,4
34,2,1,3
34,4,2,4
35,4,1,4
36,4,2,3
37,4,1,3
38,2,1,2
38,4,1,4
39,4,1,4
40,4,2,3
41,9,1,4
42,4,1,4
43,4,1,4
44,4,1,3
45,2,1,4
46,1,1,5
47,4,1,4
48,4,3,4
49,10,1,5
50,9,1,4
51,4,1,3
52,2,1,4
52,4,8,3
52,5,1,3
52,9,2,2
52,11,1,4
53,9,1,2
54,4,3,4
54,10,1,4
55,4,1,4
56,9,1,4
57,4,2,2
58,4,1,4
59,4,2,4
60,4,1,4
61,4,26,2
61,6,2,2
61,9,9,3
61,10,4,3
62,2,1,3
62,4,2,3
62,9,2,4
62,10,1,4
63,4,1,4
63,9,1,5
64,4,8,4
64,10,1,4
65,4,1,4
66,2,2,4
66,4,1,2
67,4,6,3
68,4,1,4
69,4,1,3
70,10,1,5
71,9,1,2
72,4,3,4
73,2,1,4
73,4,5,3
73,9,3,4
73,10,3,4
73,11,1,3
74,4,4,4
75,4,1,4
76,10,1,4
77,4,1,3
78,2,1,4
78,4,3,4
79,4,2,4
80,4,1,4
81,1,24,5
81,2,122,4
81,3,12,4
81,4,816,3
81,5,4,5
81,6,121,4
81,7,2,2
81,8,6,2
81,9,424,5
81,10,368,4
81,11,73,4
82,4,10,4
82,6,2,4
82,9,1,4
83,4,1,4
84,2,2,3
84,4,3,4
85,2,2,4
85,4,5,4
85,6,1,4
85,9,5,3
85,11,1,4
86,4,1,4
87,9,1,2
88,2,1,2
88,4,1,4
89,4,1,4
90,4,1,2
91,2,1,4
92,4,1,4
93,4,1,3
94,4,1,4
95,2,2,2
95,4,7,3
95,10,1,3
96,4,1,4
97,2,7,3
97,4,5,4
97,11,1,4
98,4,3,4
98,9,1,3
99,2,3,4
99,4,1,4
100,4,1,4
101,4,1,4
102,2,1,4
102,4,10,4
102,6,1,3
102,10,2,4
103,4,1,4
104,4,2,4
105,4,1,4
106,4,1,4
107,9,1,3
108,4,1,4
109,9,1,5
110,4,1,4
111,9,1,4
112,4,1,4
113,4,1,4
114,4,1,4
114,9,1,4
115,4,1,4
115,11,1,4
116,10,1,4
117,4,1,4
118,4,2,4
119,4,1,4
120,4,1,3
121,2,1,4
121,4,2,4
122,4,1,4
123,4,1,4
124,4,1,4
125,4,5,4
125,6,1,2
126,1,1,2
126,2,4,4
126,4,19,3
126,6,4,4
126,9,1,4
126,10,4,2
127,4,1,4
128,4,1,4
129,4,4,3
129,11,1,4
130,1,12,5
130,2,62,4
130,3,6,4
130,4,407,3
130,5,2,5
130,6,58,4
130,7,1,2
130,8,3,2
130,9,212,5
130,10,183,4
130,11,35,4
131,4,1,4
132,2,5,4
132,4,13,4
133,4,1,5
134,4,1,4
135,4,1,3
136,4,4,4
137,9,1,5
137,10,1,4
138,2,3,4
138,4,11,3
138,5,1,2
138,6,1,4
138,9,1,4
139,4,1,3
140,4,7,4
141,4,1,4
142,4,1,4
143,4,1,4
144,1,1,4
144,2,1,3
145,2,1,2
145,4,2,4
146,2,1,4
146,4,1,3
147,4,1,4
148,4,2,4
149,4,1,4
150,4,4,4
151,4,2,4
152,4,1,2
153,4,1,4
154,4,1,4
155,2,2,2
155,4,4,3
155,10,1,4
155,11,1,4
156,10,1,4
157,2,1,4
158,4,1,4
158,9,1,4
159,1,60,5
159,2,329,4
159,3,31,4
159,4,2240,3
159,5,10,5
159,6,306,4
159,7,5,2
159,8,15,2
159,9,1079,5
159,10,948,4
159,11,224,4
160,4,1,4
161,10,1,4
162,4,1,4
163,4,1,3
164,4,3,4
165,4,1,4
166,4,1,4
167,4,1,4
168,4,1,4
169,4,14,3
170,4,4,4
171,2,2,4
172,4,2,3
172,9,1,3
172,11,2,3
173,4,8,3
174,9,1,4
175,1,12,5
175,2,60,4
175,3,6,4
175,4,399,3
175,5,2,5
175,6,58,4
175,7,1,2
175,8,3,2
175,9,211,5
175,10,182,4
175,11,35,4
176,4,1,4
177,4,6,4
177,11,1,4
178,1,12,5
178,2,61,4
178,3,6,4
178,4,402,3
178,5,2,5
178,6,58,4
178,7,1,2
178,8,3,2
178,9,211,5
178,10,182,4
178,11,35,4
179,9,1,4
180,4,1,3
180,9,1,2
181,6,1,5
182,4,1,4
183,4,1,4
184,2,1,4
184,4,1,4
185,4,1,4
186,4,2,3
187,4,1,4
188,9,1,4
189,9,1,4
190,2,8,4
190,4,13,3
190,9,1,4
190,10,1,4
191,4,1,4
192,4,1,4
193,4,1,4
194,4,1,4
195,4,1,4
196,4,1,4
197,4,1,4
198,4,3,4
198,6,1,4
199,4,1,4
200,4,2,4
201,1,1,4
201,4,1,4
201,8,1,4
202,4,3,4
203,4,1,3
204,4,1,4
205,2,1,4
205,4,1,4
206,4,1,2
207,4,2,3
208,1,12,5
208,2,60,4
208,3,6,4
208,4,413,3
208,5,2,5
208,6,58,4
208,7,1,2
208,8,3,2
208,9,211,5
208,10,182,4
208,11,35,4
209,4,1,4
210,4,1,4
211,11,1,4
212,2,3,2
212,4,11,4
212,10,1,4
213,4,2,3
213,11,2,4
214,2,1,4
215,2,2,4
